"key","value","date"
"Moody","0","32"
"Moody","0","33"
"Moody","1","34"
"Moody","41","35"
"Moody","3","36"
"Moody","1","37"
"Riddle","0","0"
"Riddle","13","1"
"Riddle","0","2"
"Riddle","0","3"
"Riddle","0","4"
"Riddle","0","5"
"Riddle","0","6"
"Riddle","0","7"
"Riddle","0","8"
"Riddle","0","9"
"Riddle","0","10"
"Riddle","0","11"
"Riddle","0","12"
"Riddle","0","13"
"Riddle","0","14"
"Riddle","0","15"
"Riddle","0","16"
"Riddle","0","17"
"Riddle","0","18"
"Riddle","0","19"
"Riddle","0","20"
"Riddle","0","21"
"Riddle","0","22"
"Riddle","0","23"
"Riddle","0","24"
"Riddle","0","25"
"Riddle","0","26"
"Riddle","0","27"
"Riddle","0","28"
"Riddle","0","29"
"Riddle","0","30"
"Riddle","0","31"
"Riddle","0","32"
"Riddle","1","33"
"Riddle","0","34"
"Riddle","0","35"
"Riddle","0","36"
"Riddle","0","37"
"Eaters","0","0"
"Eaters","0","1"
"Eaters","0","2"
"Eaters","0","3"
"Eaters","0","4"
"Eaters","0","5"
"Eaters","0","6"
"Eaters","0","7"
"Eaters","0","8"
"Eaters","7","9"
"Eaters","1","10"
"Eaters","0","11"
"Eaters","0","12"
"Eaters","0","13"
"Eaters","0","14"
"Eaters","0","15"
"Eaters","0","16"
"Eaters","0","17"
"Eaters","0","18"
"Eaters","2","19"
"Eaters","0","20"
"Eaters","0","21"
"Eaters","0","22"
"Eaters","0","23"
"Eaters","0","24"
"Eaters","1","25"
"Eaters","0","26"
"Eaters","3","27"
"Eaters","0","28"
"Eaters","0","29"
"Eaters","1","30"
"Eaters","1","31"
"Eaters","0","32"
"Eaters","13","33"
"Eaters","17","34"
"Eaters","8","35"
"Eaters","5","36"
"Eaters","1","37"
"Voldemort","0","0"
"Voldemort","1","1"
"Voldemort","16","2"
"Voldemort","1","3"
"Voldemort","0","4"
"Voldemort","0","5"
"Voldemort","0","6"
"Voldemort","0","7"
"Voldemort","0","8"
"Voldemort","0","9"
"Voldemort","0","10"
"Voldemort","0","11"
"Voldemort","0","12"
"Voldemort","1","13"
"Voldemort","5","14"
"Voldemort","0","15"
"Voldemort","0","16"
"Voldemort","4","17"
"Voldemort","0","18"
"Voldemort","5","19"
"Voldemort","0","20"
"Voldemort","0","21"
"Voldemort","0","22"
"Voldemort","0","23"
"Voldemort","0","24"
"Voldemort","0","25"
"Voldemort","0","26"
"Voldemort","4","27"
"Voldemort","2","28"
"Voldemort","3","29"
"Voldemort","5","30"
"Voldemort","3","31"
"Voldemort","1","32"
"Voldemort","47","33"
"Voldemort","41","34"
"Voldemort","4","35"
"Voldemort","20","36"
"Voldemort","11","37"
