"key","value","date"
"Harry","0","0"
"Harry","90","1"
"Harry","95","2"
"Harry","84","3"
"Harry","97","4"
"Harry","70","5"
"Harry","76","6"
"Harry","82","7"
"Harry","41","8"
"Harry","125","9"
"Harry","103","10"
"Harry","69","11"
"Harry","119","12"
"Harry","118","13"
"Harry","113","14"
"Harry","72","15"
"Harry","95","16"
"Harry","102","17"
"Harry","117","18"
"Harry","85","19"
"Harry","38","20"
"Harry","99","21"
"Harry","94","22"
"Harry","91","23"
"Harry","140","24"
"Harry","110","25"
"Harry","127","26"
"Harry","92","27"
"Harry","103","28"
"Harry","111","29"
"Harry","116","30"
"Harry","95","31"
"Harry","89","32"
"Harry","53","33"
"Harry","79","34"
"Harry","137","35"
"Harry","59","36"
"Harry","113","37"
"Harry","115","38"
"Hermione","0","0"
"Hermione","7","1"
"Hermione","1","2"
"Hermione","2","3"
"Hermione","41","4"
"Hermione","9","5"
"Hermione","14","6"
"Hermione","0","7"
"Hermione","0","8"
"Hermione","32","9"
"Hermione","37","10"
"Hermione","25","11"
"Hermione","62","12"
"Hermione","53","13"
"Hermione","49","14"
"Hermione","52","15"
"Hermione","69","16"
"Hermione","41","17"
"Hermione","41","18"
"Hermione","26","19"
"Hermione","45","20"
"Hermione","45","21"
"Hermione","0","22"
"Hermione","27","23"
"Hermione","25","24"
"Hermione","59","25"
"Hermione","40","26"
"Hermione","11","27"
"Hermione","22","28"
"Hermione","27","29"
"Hermione","81","30"
"Hermione","48","31"
"Hermione","61","32"
"Hermione","45","33"
"Hermione","29","34"
"Hermione","29","35"
"Hermione","1","36"
"Hermione","3","37"
"Hermione","32","38"
"Ron","0","0"
"Ron","7","1"
"Ron","1","2"
"Ron","2","3"
"Ron","42","4"
"Ron","11","5"
"Ron","24","6"
"Ron","2","7"
"Ron","0","8"
"Ron","67","9"
"Ron","52","10"
"Ron","37","11"
"Ron","62","12"
"Ron","64","13"
"Ron","82","14"
"Ron","48","15"
"Ron","43","16"
"Ron","54","17"
"Ron","38","18"
"Ron","50","19"
"Ron","43","20"
"Ron","54","21"
"Ron","21","22"
"Ron","34","23"
"Ron","26","24"
"Ron","29","25"
"Ron","35","26"
"Ron","10","27"
"Ron","15","28"
"Ron","19","29"
"Ron","21","30"
"Ron","57","31"
"Ron","25","32"
"Ron","12","33"
"Ron","28","34"
"Ron","22","35"
"Ron","2","36"
"Ron","0","37"
"Ron","26","38"
"Dumbledore","0","0"
"Dumbledore","1","1"
"Dumbledore","19","2"
"Dumbledore","1","3"
"Dumbledore","14","4"
"Dumbledore","21","5"
"Dumbledore","6","6"
"Dumbledore","1","7"
"Dumbledore","44","8"
"Dumbledore","15","9"
"Dumbledore","2","10"
"Dumbledore","24","11"
"Dumbledore","5","12"
"Dumbledore","13","13"
"Dumbledore","9","14"
"Dumbledore","5","15"
"Dumbledore","6","16"
"Dumbledore","2","17"
"Dumbledore","7","18"
"Dumbledore","1","19"
"Dumbledore","12","20"
"Dumbledore","1","21"
"Dumbledore","54","22"
"Dumbledore","8","23"
"Dumbledore","9","24"
"Dumbledore","7","25"
"Dumbledore","13","26"
"Dumbledore","55","27"
"Dumbledore","8","28"
"Dumbledore","4","29"
"Dumbledore","4","30"
"Dumbledore","4","31"
"Dumbledore","7","32"
"Dumbledore","0","33"
"Dumbledore","0","34"
"Dumbledore","5","35"
"Dumbledore","40","36"
"Dumbledore","88","37"
"Dumbledore","8","38"
"Sirius","0","0"
"Sirius","6","1"
"Sirius","3","2"
"Sirius","4","3"
"Sirius","1","4"
"Sirius","62","5"
"Sirius","61","6"
"Sirius","5","7"
"Sirius","0","8"
"Sirius","18","9"
"Sirius","19","10"
"Sirius","0","11"
"Sirius","2","12"
"Sirius","1","13"
"Sirius","35","14"
"Sirius","0","15"
"Sirius","10","16"
"Sirius","20","17"
"Sirius","3","18"
"Sirius","0","19"
"Sirius","0","20"
"Sirius","4","21"
"Sirius","24","22"
"Sirius","12","23"
"Sirius","40","24"
"Sirius","6","25"
"Sirius","1","26"
"Sirius","0","27"
"Sirius","27","28"
"Sirius","38","29"
"Sirius","3","30"
"Sirius","2","31"
"Sirius","22","32"
"Sirius","5","33"
"Sirius","12","34"
"Sirius","19","35"
"Sirius","8","36"
"Sirius","55","37"
"Sirius","16","38"
"Snape","0","0"
"Snape","0","1"
"Snape","0","2"
"Snape","0","3"
"Snape","2","4"
"Snape","0","5"
"Snape","2","6"
"Snape","0","7"
"Snape","0","8"
"Snape","0","9"
"Snape","0","10"
"Snape","0","11"
"Snape","19","12"
"Snape","3","13"
"Snape","0","14"
"Snape","4","15"
"Snape","1","16"
"Snape","19","17"
"Snape","0","18"
"Snape","3","19"
"Snape","0","20"
"Snape","0","21"
"Snape","0","22"
"Snape","0","23"
"Snape","86","24"
"Snape","8","25"
"Snape","27","26"
"Snape","1","27"
"Snape","58","28"
"Snape","21","29"
"Snape","1","30"
"Snape","5","31"
"Snape","19","32"
"Snape","0","33"
"Snape","0","34"
"Snape","0","35"
"Snape","0","36"
"Snape","16","37"
"Snape","11","38"
"Fudge","0","0"
"Fudge","0","1"
"Fudge","0","2"
"Fudge","0","3"
"Fudge","5","4"
"Fudge","4","5"
"Fudge","0","6"
"Fudge","0","7"
"Fudge","51","8"
"Fudge","12","9"
"Fudge","8","10"
"Fudge","2","11"
"Fudge","0","12"
"Fudge","1","13"
"Fudge","2","14"
"Fudge","4","15"
"Fudge","1","16"
"Fudge","0","17"
"Fudge","3","18"
"Fudge","1","19"
"Fudge","1","20"
"Fudge","0","21"
"Fudge","0","22"
"Fudge","0","23"
"Fudge","0","24"
"Fudge","4","25"
"Fudge","0","26"
"Fudge","42","27"
"Fudge","3","28"
"Fudge","1","29"
"Fudge","0","30"
"Fudge","0","31"
"Fudge","0","32"
"Fudge","0","33"
"Fudge","0","34"
"Fudge","0","35"
"Fudge","11","36"
"Fudge","0","37"
"Fudge","2","38"
"Umbridge","0","0"
"Umbridge","0","1"
"Umbridge","0","2"
"Umbridge","0","3"
"Umbridge","0","4"
"Umbridge","0","5"
"Umbridge","0","6"
"Umbridge","0","7"
"Umbridge","2","8"
"Umbridge","0","9"
"Umbridge","0","10"
"Umbridge","13","11"
"Umbridge","46","12"
"Umbridge","21","13"
"Umbridge","10","14"
"Umbridge","64","15"
"Umbridge","10","16"
"Umbridge","23","17"
"Umbridge","10","18"
"Umbridge","11","19"
"Umbridge","16","20"
"Umbridge","18","21"
"Umbridge","1","22"
"Umbridge","1","23"
"Umbridge","2","24"
"Umbridge","9","25"
"Umbridge","19","26"
"Umbridge","41","27"
"Umbridge","22","28"
"Umbridge","33","29"
"Umbridge","10","30"
"Umbridge","15","31"
"Umbridge","41","32"
"Umbridge","27","33"
"Umbridge","0","34"
"Umbridge","0","35"
"Umbridge","1","36"
"Umbridge","3","37"
"Umbridge","8","38"
"Eaters","0","0"
"Eaters","0","1"
"Eaters","0","2"
"Eaters","0","3"
"Eaters","1","4"
"Eaters","4","5"
"Eaters","1","6"
"Eaters","0","7"
"Eaters","0","8"
"Eaters","3","9"
"Eaters","0","10"
"Eaters","0","11"
"Eaters","0","12"
"Eaters","0","13"
"Eaters","1","14"
"Eaters","0","15"
"Eaters","3","16"
"Eaters","0","17"
"Eaters","0","18"
"Eaters","0","19"
"Eaters","5","20"
"Eaters","0","21"
"Eaters","0","22"
