"key","value","date"
"Harry","0","0"
"Harry","1","1"
"Harry","3","2"
"Harry","62","3"
"Harry","95","4"
"Harry","82","5"
"Harry","78","6"
"Harry","118","7"
"Harry","71","8"
"Harry","80","9"
"Harry","75","10"
"Harry","79","11"
"Harry","98","12"
"Harry","47","13"
"Harry","123","14"
"Harry","89","15"
"Harry","104","16"
"Harry","88","17"
"Harry","131","18"
"Harry","117","19"
"Harry","78","20"
"Harry","93","21"
"Harry","105","22"
"Harry","83","23"
"Harry","104","24"
"Harry","99","25"
"Harry","138","26"
"Harry","38","27"
"Harry","76","28"
"Harry","60","29"
"Harry","85","30"
"Hermione","0","0"
"Hermione","0","1"
"Hermione","0","2"
"Hermione","0","3"
"Hermione","1","4"
"Hermione","50","5"
"Hermione","44","6"
"Hermione","19","7"
"Hermione","20","8"
"Hermione","39","9"
"Hermione","7","10"
"Hermione","57","11"
"Hermione","55","12"
"Hermione","2","13"
"Hermione","46","14"
"Hermione","45","15"
"Hermione","4","16"
"Hermione","17","17"
"Hermione","25","18"
"Hermione","14","19"
"Hermione","13","20"
"Hermione","56","21"
"Hermione","37","22"
"Hermione","0","23"
"Hermione","34","24"
"Hermione","21","25"
"Hermione","1","26"
"Hermione","1","27"
"Hermione","0","28"
"Hermione","11","29"
"Hermione","24","30"
"Ron","0","0"
"Ron","0","1"
"Ron","0","2"
"Ron","0","3"
"Ron","1","4"
"Ron","44","5"
"Ron","39","6"
"Ron","23","7"
"Ron","22","8"
"Ron","38","9"
"Ron","7","10"
"Ron","54","11"
"Ron","50","12"
"Ron","2","13"
"Ron","104","14"
"Ron","28","15"
"Ron","37","16"
"Ron","19","17"
"Ron","79","18"
"Ron","40","19"
"Ron","14","20"
"Ron","48","21"
"Ron","36","22"
"Ron","0","23"
"Ron","34","24"
"Ron","14","25"
"Ron","1","26"
"Ron","1","27"
"Ron","1","28"
"Ron","21","29"
"Ron","22","30"
"Dumbledore","0","0"
"Dumbledore","3","1"
"Dumbledore","12","2"
"Dumbledore","58","3"
"Dumbledore","90","4"
"Dumbledore","14","5"
"Dumbledore","3","6"
"Dumbledore","2","7"
"Dumbledore","16","8"
"Dumbledore","4","9"
"Dumbledore","44","10"
"Dumbledore","3","11"
"Dumbledore","9","12"
"Dumbledore","94","13"
"Dumbledore","1","14"
"Dumbledore","2","15"
"Dumbledore","15","16"
"Dumbledore","47","17"
"Dumbledore","3","18"
"Dumbledore","11","19"
"Dumbledore","70","20"
"Dumbledore","8","21"
"Dumbledore","2","22"
"Dumbledore","43","23"
"Dumbledore","2","24"
"Dumbledore","38","25"
"Dumbledore","114","26"
"Dumbledore","77","27"
"Dumbledore","11","28"
"Dumbledore","24","29"
"Dumbledore","31","30"
"Slughorn","0","0"
"Slughorn","0","1"
"Slughorn","0","2"
"Slughorn","0","3"
"Slughorn","34","4"
"Slughorn","3","5"
"Slughorn","0","6"
"Slughorn","32","7"
"Slughorn","5","8"
"Slughorn","28","9"
"Slughorn","3","10"
"Slughorn","10","11"
"Slughorn","8","12"
"Slughorn","0","13"
"Slughorn","2","14"
"Slughorn","17","15"
"Slughorn","0","16"
"Slughorn","14","17"
"Slughorn","45","18"
"Slughorn","11","19"
"Slughorn","8","20"
"Slughorn","10","21"
"Slughorn","70","22"
"Slughorn","16","23"
"Slughorn","5","24"
"Slughorn","1","25"
"Slughorn","0","26"
"Slughorn","1","27"
"Slughorn","0","28"
"Slughorn","6","29"
"Slughorn","3","30"
"Snape","0","0"
"Snape","0","1"
"Snape","58","2"
"Snape","0","3"
"Snape","3","4"
"Snape","0","5"
"Snape","0","6"
"Snape","0","7"
"Snape","24","8"
"Snape","27","9"
"Snape","1","10"
"Snape","4","11"
"Snape","4","12"
"Snape","2","13"
"Snape","0","14"
"Snape","22","15"
"Snape","10","16"
"Snape","6","17"
"Snape","5","18"
"Snape","12","19"
"Snape","0","20"
"Snape","17","21"
"Snape","0","22"
"Snape","0","23"
"Snape","29","24"
"Snape","21","25"
"Snape","1","26"
"Snape","9","27"
"Snape","31","28"
"Snape","23","29"
"Snape","11","30"
"Half-Blood","0","0"
"Half-Blood","0","1"
"Half-Blood","0","2"
"Half-Blood","0","3"
"Half-Blood","0","4"
"Half-Blood","0","5"
"Half-Blood","0","6"
"Half-Blood","0","7"
"Half-Blood","0","8"
"Half-Blood","0","9"
"Half-Blood","0","10"
"Half-Blood","0","11"
"Half-Blood","0","12"
"Half-Blood","0","13"
"Half-Blood","0","14"
"Half-Blood","0","15"
"Half-Blood","0","16"
"Half-Blood","0","17"
"Half-Blood","0","18"
"Half-Blood","0","19"
"Half-Blood","0","20"
"Half-Blood","0","21"
"Half-Blood","0","22"
"Half-Blood","0","23"
"Half-Blood","0","24"
"Half-Blood","0","25"
"Half-Blood","0","26"
"Half-Blood","0","27"
"Half-Blood","0","28"
"Half-Blood","0","29"
"Half-Blood","0","30"
"Draco","0","0"
"Draco","0","1"
"Draco","11","2"
"Draco","0","3"
"Draco","0","4"
"Draco","0","5"
"Draco","6","6"
"Draco","1","7"
"Draco","1","8"
"Draco","0","9"
"Draco","0","10"
"Draco","0","11"
"Draco","1","12"
"Draco","2","13"
"Draco","1","14"
"Draco","7","15"
"Draco","0","16"
"Draco","0","17"
"Draco","0","18"
"Draco","2","19"
"Draco","1","20"
"Draco","4","21"
"Draco","1","22"
"Draco","0","23"
"Draco","1","24"
"Draco","1","25"
"Draco","0","26"
"Draco","16","27"
"Draco","1","28"
"Draco","0","29"
"Draco","0","30"
"Eaters","0","0"
"Eaters","1","1"
"Eaters","3","2"
"Eaters","5","3"
"Eaters","7","4"
"Eaters","1","5"
"Eaters","2","6"
"Eaters","0","7"
"Eaters","1","8"
"Eaters","1","9"
"Eaters","0","10"
"Eaters","0","11"
"Eaters","4","12"
"Eaters","1","13"
"Eaters","0","14"
"Eaters","0","15"
"Eaters","1","16"
"Eaters","2","17"
"Eaters","0","18"
"Eaters","0","19"
"Eaters","1","20"
"Eaters","0","21"
"Eaters","1","22"
"Eaters","2","23"
"Eaters","0","24"
"Eaters","0","25"
"Eaters","0","26"
"Eaters","7","27"
"Eaters","7","28"
"Eaters","12","29"
"Eaters","1","30"
"Voldemort","0","0"
"Voldemort","0","1"
"Voldemort","0","2"
"Voldemort","2","3"
"Voldemort","6","4"
"Voldemort","4","5"
"Voldemort","1","6"
