"key","value","date"
"Harry","0","0"
"Harry","5","1"
"Harry","26","2"
"Harry","81","3"
"Harry","96","4"
"Harry","103","5"
"Harry","98","6"
"Harry","101","7"
"Harry","85","8"
"Harry","71","9"
"Harry","96","10"
"Harry","82","11"
"Harry","77","12"
"Harry","85","13"
"Harry","65","14"
"Harry","104","15"
"Harry","66","16"
"Harry","79","17"
"Harry","18","18"
"Harry","98","19"
"Harry","68","20"
"Harry","56","21"
"Harry","71","22"
"Harry","117","23"
"Harry","120","24"
"Harry","64","25"
"Harry","97","26"
"Harry","18","27"
"Harry","18","28"
"Harry","67","29"
"Harry","59","30"
"Harry","122","31"
"Harry","69","32"
"Harry","63","33"
"Harry","44","34"
"Harry","75","35"
"Harry","133","36"
"Hermione","0","0"
"Hermione","0","1"
"Hermione","2","2"
"Hermione","0","3"
"Hermione","12","4"
"Hermione","16","5"
"Hermione","58","6"
"Hermione","64","7"
"Hermione","17","8"
"Hermione","53","9"
"Hermione","32","10"
"Hermione","44","11"
"Hermione","67","12"
"Hermione","24","13"
"Hermione","49","14"
"Hermione","55","15"
"Hermione","35","16"
"Hermione","50","17"
"Hermione","13","18"
"Hermione","40","19"
"Hermione","35","20"
"Hermione","48","21"
"Hermione","51","22"
"Hermione","25","23"
"Hermione","30","24"
"Hermione","23","25"
"Hermione","75","26"
"Hermione","15","27"
"Hermione","15","28"
"Hermione","14","29"
"Hermione","1","30"
"Hermione","38","31"
"Hermione","34","32"
"Hermione","7","33"
"Hermione","6","34"
"Hermione","1","35"
"Hermione","13","36"
"Ron","0","0"
"Ron","0","1"
"Ron","0","2"
"Ron","0","3"
"Ron","13","4"
"Ron","11","5"
"Ron","80","6"
"Ron","68","7"
"Ron","25","8"
"Ron","52","9"
"Ron","21","10"
"Ron","35","11"
"Ron","59","12"
"Ron","16","13"
"Ron","33","14"
"Ron","53","15"
"Ron","9","16"
"Ron","1","17"
"Ron","2","18"
"Ron","80","19"
"Ron","47","20"
"Ron","36","21"
"Ron","60","22"
"Ron","48","23"
"Ron","35","24"
"Ron","25","25"
"Ron","45","26"
"Ron","16","27"
"Ron","16","28"
"Ron","27","29"
"Ron","1","30"
"Ron","51","31"
"Ron","34","32"
"Ron","7","33"
"Ron","6","34"
"Ron","0","35"
"Ron","18","36"
"Weasley","0","0"
"Weasley","0","1"
"Weasley","0","2"
"Weasley","5","3"
"Weasley","2","4"
"Weasley","29","5"
"Weasley","38","6"
"Weasley","27","7"
"Weasley","9","8"
"Weasley","0","9"
"Weasley","2","10"
"Weasley","0","11"
"Weasley","2","12"
"Weasley","14","13"
"Weasley","0","14"
"Weasley","2","15"
"Weasley","0","16"
"Weasley","0","17"
"Weasley","0","18"
"Weasley","2","19"
"Weasley","0","20"
"Weasley","0","21"
"Weasley","0","22"
"Weasley","3","23"
"Weasley","0","24"
"Weasley","3","25"
"Weasley","0","26"
"Weasley","0","27"
"Weasley","0","28"
"Weasley","0","29"
"Weasley","10","30"
"Weasley","2","31"
"Weasley","1","32"
"Weasley","2","33"
"Weasley","0","34"
"Weasley","0","35"
"Weasley","7","36"
"Hagrid","0","0"
"Hagrid","0","1"
"Hagrid","1","2"
"Hagrid","1","3"
"Hagrid","36","4"
"Hagrid","32","5"
"Hagrid","2","6"
"Hagrid","9","7"
"Hagrid","4","8"
"Hagrid","0","9"
"Hagrid","0","10"
"Hagrid","0","11"
"Hagrid","0","12"
"Hagrid","0","13"
"Hagrid","1","14"
"Hagrid","2","15"
"Hagrid","1","16"
"Hagrid","1","17"
"Hagrid","0","18"
"Hagrid","0","19"
"Hagrid","0","20"
"Hagrid","0","21"
"Hagrid","1","22"
"Hagrid","0","23"
"Hagrid","1","24"
"Hagrid","0","25"
"Hagrid","1","26"
"Hagrid","1","27"
"Hagrid","1","28"
"Hagrid","0","29"
"Hagrid","0","30"
"Hagrid","8","31"
"Hagrid","8","32"
"Hagrid","0","33"
"Hagrid","5","34"
"Hagrid","0","35"
"Hagrid","13","36"
"Snape","0","0"
"Snape","22","1"
"Snape","1","2"
"Snape","0","3"
"Snape","0","4"
"Snape","0","5"
"Snape","2","6"
"Snape","0","7"
"Snape","0","8"
"Snape","8","9"
"Snape","1","10"
"Snape","2","11"
"Snape","10","12"
"Snape","0","13"
"Snape","2","14"
"Snape","12","15"
"Snape","4","16"
"Snape","0","17"
"Snape","0","18"
"Snape","0","19"
"Snape","0","20"
"Snape","0","21"
"Snape","1","22"
"Snape","0","23"
"Snape","4","24"
"Snape","0","25"
"Snape","0","26"
"Snape","3","27"
"Snape","3","28"
"Snape","3","29"
"Snape","15","30"
"Snape","2","31"
"Snape","19","32"
"Snape","120","33"
"Snape","1","34"
"Snape","1","35"
"Snape","8","36"
"Severus","0","0"
"Severus","2","1"
"Severus","1","2"
"Severus","0","3"
"Severus","0","4"
"Severus","0","5"
"Severus","0","6"
"Severus","0","7"
"Severus","0","8"
"Severus","0","9"
"Severus","0","10"
"Severus","1","11"
"Severus","0","12"
"Severus","0","13"
"Severus","0","14"
"Severus","1","15"
"Severus","0","16"
"Severus","0","17"
"Severus","0","18"
"Severus","0","19"
"Severus","0","20"
"Severus","0","21"
"Severus","1","22"
"Severus","0","23"
"Severus","0","24"
"Severus","0","25"
"Severus","0","26"
"Severus","0","27"
"Severus","0","28"
"Severus","0","29"
"Severus","4","30"
"Severus","0","31"
"Severus","13","32"
"Severus","25","33"
"Severus","0","34"
"Severus","1","35"
"Severus","3","36"
"Bellatrix","0","0"
"Bellatrix","7","1"
"Bellatrix","0","2"
"Bellatrix","0","3"
"Bellatrix","0","4"
"Bellatrix","2","5"
"Bellatrix","0","6"
"Bellatrix","0","7"
"Bellatrix","0","8"
"Bellatrix","0","9"
"Bellatrix","1","10"
"Bellatrix","0","11"
"Bellatrix","0","12"
"Bellatrix","0","13"
"Bellatrix","0","14"
"Bellatrix","0","15"
"Bellatrix","0","16"
"Bellatrix","0","17"
"Bellatrix","0","18"
"Bellatrix","0","19"
"Bellatrix","0","20"
"Bellatrix","0","21"
"Bellatrix","0","22"
"Bellatrix","27","23"
"Bellatrix","4","24"
"Bellatrix","0","25"
"Bellatrix","9","26"
"Bellatrix","3","27"
"Bellatrix","3","28"
"Bellatrix","0","29"
"Bellatrix","1","30"
"Bellatrix","0","31"
"Bellatrix","0","32"
"Bellatrix","1","33"
"Bellatrix","3","34"
"Bellatrix","0","35"
"Bellatrix","12","36"
"Eaters","0","0"
"Eaters","4","1"
"Eaters","0","2"
"Eaters","1","3"
"Eaters","16","4"
"Eaters","11","5"
"Eaters","6","6"
"Eaters","0","7"
"Eaters","0","8"
"Eaters","5","9"
"Eaters","3","10"
"Eaters","10","11"
"Eaters","5","12"
"Eaters","0","13"
"Eaters","4","14"
"Eaters","3","15"
"Eaters","1","16"
"Eaters","0","17"
"Eaters","0","18"
"Eaters","0","19"
"Eaters","2","20"
"Eaters","0","21"
"Eaters","7","22"
"Eaters","0","23"
"Eaters","1","24"
"Eaters","1","25"
"Eaters","2","26"
"Eaters","0","27"
"Eaters","0","28"
"Eaters","2","29"
"Eaters","3","30"
"Eaters","4","31"
"Eaters","9","32"
"Eaters","1","33"
"Eaters","4","34"
"Eaters","0","35"
"Eaters","20","36"
"Voldemort","0","0"
"Voldemort","36","1"
"Voldemort","2","2"
"Voldemort","3","3"
"Voldemort","7","4"
"Voldemort","13","5"
"Voldemort","8","6"
"Voldemort","3","7"
"Voldemort","2","8"
"Voldemort","6","9"
"Voldemort","15","10"
"Voldemort","9","11"
"Voldemort","6","12"
"Voldemort","0","13"
"Voldemort","7","14"
"Voldemort","9","15"
"Voldemort","2","16"
"Voldemort","4","17"
"Voldemort","2","18"
"Voldemort","1","19"
"Voldemort","0","20"
"Voldemort","1","21"
"Voldemort","11","22"
"Voldemort","11","23"
"Voldemort","11","24"
"Voldemort","3","25"
"Voldemort","0","26"
"Voldemort","5","27"
"Voldemort","5","28"
"Voldemort","3","29"
"Voldemort","4","30"
"Voldemort","13","31"
"Voldemort","27","32"
"Voldemort","24","33"
"Voldemort","21","34"
"Voldemort","19","35"
"Voldemort","60","36"
